,고객ID,가입날짜,최초거래날짜,최근거래날짜,구매횟수,구매제품수,구매원가,할인가,배송료,총결제금액,평균결제금액,평균할인차액,평균할인비율,구매제품평균금액
17,USER_0017,2016-04-19,2019-12-13,2019-12-14,6,7,662.14,653.49,38.5,691.99,115.33,-1.44,0.01,93.36
18,USER_0018,2017-07-04,2019-07-26,2019-08-13,24,169,3079.95,2935.76,189.48,3125.2400000000002,130.22,-6.01,0.05,17.37
19,USER_0019,2016-11-29,2019-06-26,2019-10-18,15,157,1866.69,1744.4,129.61,1874.01,124.93,-8.15,0.07,11.11
20,USER_0020,2016-10-25,2019-10-16,2019-10-16,6,17,2173.1,1988.4299999999998,50.480000000000004,2038.9099999999999,339.82,-30.78,0.09,116.97
21,USER_0021,2015-10-27,2019-09-19,2019-09-20,9,101,1134.47,920.73,61.99,982.72,109.19,-23.75,0.22,9.12
22,USER_0022,2019-01-29,2019-07-12,2019-07-12,8,17,812.75,742.88,91.72999999999999,834.61,104.33,-8.73,0.08,43.7
23,USER_0023,2016-11-29,2019-02-01,2019-07-14,3,170,1494.49,1420.55,42.07,1462.62,487.54,-24.65,0.05,8.36
24,USER_0024,2016-04-19,2019-04-13,2019-04-13,10,133,2488.43,2421.19,156.98,2578.17,257.82,-6.72,0.03,18.2
25,USER_0025,2018-10-23,2019-01-02,2019-11-21,32,57,6169.56,5862.4800000000005,228.73,6091.21,190.35,-9.6,0.05,102.85
26,USER_0026,2017-03-14,2019-01-09,2019-04-10,55,1494,15444.7,15042.48,1290.23,16332.710000000001,296.96,-7.31,0.02,10.07
27,USER_0027,2017-03-14,2019-05-23,2019-05-23,1,15,36.01,32.77,6.0,38.77,38.77,-3.24,0.08,2.18
28,USER_0028,2015-10-27,2019-08-24,2019-12-14,14,26,2667.06,2628.81,101.88,2730.69,195.05,-2.73,0.01,101.11
29,USER_0029,2016-09-13,2019-03-28,2019-03-29,11,16,1911.91,1570.65,83.12,1653.77,150.34,-31.02,0.21,98.17
30,USER_0030,2015-12-01,2019-09-19,2019-09-19,57,799,10854.35,9775.49,526.07,10301.56,180.73,-18.93,0.1,12.23
31,USER_0031,2017-10-24,2019-12-18,2019-12-18,6,10,1356.02,1043.81,52.489999999999995,1096.3,182.72,-52.04,0.28,104.38
32,USER_0032,2019-01-29,2019-11-10,2019-11-10,7,26,1504.6299999999999,1465.56,51.61,1517.1699999999998,216.74,-5.58,0.03,56.37
33,USER_0033,2018-11-20,2019-01-18,2019-12-16,70,279,15345.18,14486.54,567.16,15053.7,215.05,-12.27,0.06,51.92
34,USER_0034,2019-10-22,2019-01-11,2019-10-30,67,508,12662.76,11724.43,623.15,12347.58,184.29,-14.0,0.08,23.08
35,USER_0035,2018-07-03,2019-03-06,2019-11-01,27,225,7434.78,6944.5,316.14,7260.64,268.91,-18.16,0.07,30.86
36,USER_0036,2018-10-23,2019-05-18,2019-11-28,13,302,3484.19,3157.05,100.99,3258.04,250.62,-25.16,0.1,10.45
37,USER_0037,2018-12-25,2019-12-05,2019-12-05,2,2,273.03,241.24,13.0,254.24,127.12,-15.89,0.12,120.62
38,USER_0038,2017-12-26,2019-08-06,2019-08-06,14,51,1448.8,1418.31,84.0,1502.31,107.31,-2.18,0.02,27.81
39,USER_0039,2015-12-01,2019-04-11,2019-08-02,13,757,10875.75,9363.59,187.87,9551.46,734.73,-116.32,0.16,12.37
40,USER_0040,2016-09-13,2019-07-18,2019-07-18,6,27,1098.7,1083.61,30.0,1113.61,185.6,-2.52,0.01,40.13
41,USER_0041,2016-03-15,2019-08-04,2019-08-04,35,434,5968.52,5524.83,321.46999999999997,5846.3,167.04,-12.68,0.08,12.73
42,USER_0042,2019-10-22,2019-08-03,2019-08-03,6,48,885.12,878.87,36.0,914.87,152.48,-1.04,0.01,18.31
43,USER_0043,2017-10-24,2019-08-30,2019-08-30,22,61,3007.2799999999997,2791.58,174.47,2966.05,134.82,-9.8,0.07,45.76
44,USER_0044,2017-08-08,2019-04-12,2019-07-20,5,9,459.32000000000005,444.78000000000003,30.0,474.78000000000003,94.96,-2.91,0.03,49.42
45,USER_0045,2015-12-29,2019-08-13,2019-08-13,3,5,77.6,72.49000000000001,18.0,90.49,30.16,-1.7,0.06,14.5
46,USER_0046,2019-03-12,2019-08-02,2019-11-20,71,606,11218.99,10477.04,510.71,10987.75,154.76,-10.45,0.07,17.29
47,USER_0047,2017-11-21,2019-12-16,2019-12-16,21,117,5561.78,4872.67,176.64,5049.3099999999995,240.44,-32.81,0.14,41.65
48,USER_0048,2017-01-03,2019-07-27,2019-07-27,1,1,11.16,11.16,6.0,17.16,17.16,0.0,0.0,11.16
49,USER_0049,2017-11-28,2019-09-18,2019-09-18,12,216,1541.28,1297.22,94.48,1391.7,115.98,-20.34,0.18,6.01
50,USER_0050,2017-08-08,2019-07-13,2019-07-13,4,95,1486.82,1475.3600000000001,24.0,1499.3600000000001,374.84,-2.86,0.01,15.53
51,USER_0051,2016-11-22,2019-08-22,2019-08-22,3,28,535.98,431.09000000000003,56.22,487.31,162.44,-34.96,0.22,15.4
52,USER_0052,2018-03-13,2019-08-13,2019-08-14,5,23,615.54,535.97,30.0,565.97,113.19,-15.91,0.14,23.3
53,USER_0053,2017-11-28,2019-09-15,2019-09-15,6,424,1927.1499999999999,1803.2499999999998,36.5,1839.7499999999998,306.62,-20.65,0.07,4.25
54,USER_0054,2016-04-19,2019-11-27,2019-11-27,22,96,4921.6900000000005,4440.29,154.97,4595.26,208.88,-21.88,0.1,46.25
55,USER_0055,2017-07-04,2019-08-02,2019-08-02,8,86,1382.32,1373.25,86.4,1459.65,182.46,-1.13,0.01,15.97
56,USER_0056,2018-11-27,2019-08-12,2019-11-08,100,486,20744.26,19437.45,756.35,20193.8,201.94,-13.07,0.06,39.99
57,USER_0057,2017-11-28,2019-05-12,2019-12-10,32,310,4598.42,4338.08,237.94,4576.02,143.0,-8.14,0.06,13.99
58,USER_0058,2016-07-05,2019-06-26,2019-06-26,9,17,1857.27,1601.85,85.17999999999999,1687.03,187.45,-28.38,0.15,94.23
59,USER_0059,2019-03-12,2019-08-30,2019-10-23,14,91,1615.5900000000001,1572.33,162.67000000000002,1735.0,123.93,-3.09,0.02,17.28
60,USER_0060,2015-10-27,2019-02-02,2019-08-17,4,10,327.60999999999996,286.27,25.0,311.27,77.82,-10.33,0.13,28.63
61,USER_0061,2017-11-28,2019-10-12,2019-12-11,11,136,3060.7400000000002,2927.04,73.98,3001.02,272.82,-12.15,0.04,21.52
62,USER_0062,2017-11-21,2019-02-14,2019-12-21,71,519,13510.15,12524.039999999999,625.38,13149.42,185.2,-13.89,0.08,24.13
63,USER_0063,2016-01-05,2019-11-16,2019-11-16,5,190,1779.6299999999999,1502.9,57.72,1560.62,312.12,-55.35,0.18,7.91
64,USER_0064,2018-12-25,2019-06-12,2019-06-12,33,976,6662.94,6203.02,289.34000000000003,6492.360000000001,196.74,-13.94,0.07,6.36
65,USER_0065,2019-03-12,2019-07-20,2019-11-05,40,116,6243.13,5644.0,261.48,5905.48,147.64,-14.98,0.1,48.66
66,USER_0066,2017-01-31,2019-01-01,2019-08-02,15,155,2671.9,2563.56,195.70000000000002,2759.2599999999998,183.95,-7.22,0.04,16.54
67,USER_0067,2019-08-06,2019-07-14,2019-07-24,26,212,4255.860000000001,4125.34,196.56,4321.9,166.23,-5.02,0.03,19.46
68,USER_0068,2019-09-10,2019-03-04,2019-03-04,1,1,22.41,22.41,6.5,28.91,28.91,0.0,0.0,22.41
69,USER_0069,2017-11-28,2019-11-02,2019-11-02,21,158,4802.63,4639.43,198.87,4838.3,230.4,-7.77,0.03,29.36
70,USER_0070,2018-11-27,2019-09-30,2019-09-30,5,131,928.2199999999999,732.35,30.0,762.35,152.47,-39.17,0.26,5.59
71,USER_0071,2016-09-13,2019-02-04,2019-12-16,8,16,869.51,780.86,56.99,837.85,104.73,-11.08,0.11,48.8
72,USER_0072,2018-12-25,2019-08-17,2019-08-17,4,9,624.04,550.74,26.7,577.44,144.36,-18.32,0.13,61.19
73,USER_0073,2016-11-29,2019-04-19,2019-04-19,2,3,312.72,312.72,12.0,324.72,162.36,0.0,0.0,104.24
74,USER_0074,2019-09-10,2019-10-27,2019-10-27,4,19,374.16999999999996,351.46,24.0,375.46,93.86,-5.68,0.06,18.5
75,USER_0075,2016-03-15,2019-04-12,2019-06-27,20,117,2764.29,2549.71,179.9,2729.61,136.48,-10.73,0.08,21.79
76,USER_0076,2017-10-24,2019-10-14,2019-12-16,24,186,6448.38,6208.57,173.23,6381.8,265.91,-9.99,0.04,33.38
77,USER_0077,2017-05-23,2019-09-07,2019-12-04,34,582,5694.06,5221.74,274.35,5496.09,161.65,-13.89,0.09,8.97
78,USER_0078,2018-11-27,2019-09-26,2019-11-05,26,125,4791.45,4453.53,190.97,4644.5,178.63,-13.0,0.07,35.63
79,USER_0079,2016-01-05,2019-08-18,2019-08-18,1,2,71.73,61.349999999999994,6.0,67.35,67.35,-10.38,0.15,30.67
80,USER_0080,2015-10-27,2019-11-10,2019-11-10,8,77,2664.36,2479.38,54.480000000000004,2533.86,316.73,-23.12,0.07,32.2
81,USER_0081,2017-08-08,2019-02-25,2019-06-26,28,216,4301.0,4081.23,195.17,4276.400000000001,152.73,-7.85,0.05,18.89
82,USER_0082,2017-01-31,2019-04-18,2019-04-18,1,2,16.84,15.33,6.5,21.83,21.83,-1.51,0.07,7.66
83,USER_0083,2016-03-15,2019-08-09,2019-08-09,7,255,2721.2,2468.33,42.0,2510.33,358.62,-36.12,0.1,9.68
84,USER_0084,2018-01-30,2019-08-24,2019-10-05,26,169,3045.2400000000002,2811.5499999999997,208.38,3019.93,116.15,-8.99,0.08,16.64
85,USER_0085,2018-01-30,2019-01-09,2019-12-19,16,148,3291.56,3098.49,173.0,3271.4900000000002,204.47,-12.07,0.06,20.94
86,USER_0086,2018-10-23,2019-10-02,2019-10-02,5,5,820.84,767.81,30.0,797.81,159.56,-10.61,0.07,153.56
87,USER_0087,2018-12-25,2019-08-22,2019-09-19,2,17,96.91999999999999,86.72999999999999,18.91,105.63999999999999,52.82,-5.09,0.1,5.1
88,USER_0088,2018-11-27,2019-06-09,2019-06-09,2,2,44.82,38.1,12.0,50.099999999999994,25.05,-3.36,0.13,19.05
89,USER_0089,2017-03-14,2019-06-30,2019-11-30,38,214,7335.56,6963.06,307.33,7270.39,191.33,-9.8,0.05,32.54
90,USER_0090,2016-04-19,2019-08-30,2019-08-30,3,10,289.17,274.61,18.0,292.61,97.54,-4.85,0.05,27.46
91,USER_0091,2019-08-06,2019-09-09,2019-09-09,11,35,1928.06,1682.27,66.0,1748.27,158.93,-22.34,0.14,48.06
92,USER_0092,2016-10-25,2019-12-10,2019-12-10,10,13,1483.21,1366.94,64.0,1430.94,143.09,-11.63,0.08,105.15
93,USER_0093,2017-09-12,2019-07-12,2019-07-12,3,6,223.23000000000002,223.23000000000002,18.0,241.23000000000002,80.41,0.0,0.0,37.21
94,USER_0094,2017-09-12,2019-03-20,2019-12-03,88,504,17344.32,16307.97,709.64,17017.61,193.38,-11.78,0.06,32.36
95,USER_0095,2017-01-31,2019-02-05,2019-12-11,68,230,13428.13,12423.19,567.0600000000001,12990.25,191.03,-14.78,0.08,54.01
96,USER_0096,2018-09-11,2019-04-12,2019-09-30,38,744,11308.12,10719.76,448.28000000000003,11168.04,293.9,-15.48,0.05,14.41
97,USER_0097,2017-05-23,2019-01-31,2019-01-31,6,9,1067.23,1040.22,50.97,1091.19,181.86,-4.5,0.02,115.58
98,USER_0098,2019-04-16,2019-06-28,2019-10-27,8,19,1461.3,1432.74,54.91,1487.65,185.96,-3.57,0.02,75.41
99,USER_0099,2019-08-06,2019-10-14,2019-10-14,4,17,1836.16,1756.07,24.0,1780.07,445.02,-20.02,0.04,103.3
100,USER_0100,2016-02-02,2019-06-28,2019-06-28,13,36,1832.69,1721.29,78.5,1799.79,138.45,-8.57,0.06,47.81
101,USER_0101,2017-11-28,2019-03-04,2019-08-30,21,170,3101.21,2973.89,161.19,3135.08,149.29,-6.06,0.04,17.49
102,USER_0102,2017-01-03,2019-03-27,2019-11-08,16,200,3346.67,3039.18,125.72,3164.9,197.81,-19.22,0.1,15.2
103,USER_0103,2016-11-29,2019-02-06,2019-12-21,27,65,4118.68,3910.02,252.83999999999997,4162.86,154.18,-7.73,0.05,60.15
104,USER_0104,2018-03-13,2019-03-01,2019-11-27,26,225,7439.01,6744.79,220.61,6965.4,267.9,-26.7,0.1,29.98
105,USER_0105,2019-07-02,2019-04-12,2019-07-06,10,144,2176.79,2063.18,86.33,2149.51,214.95,-11.36,0.05,14.33
106,USER_0106,2018-04-17,2019-08-21,2019-08-21,7,13,586.0300000000001,501.22,42.0,543.22,77.6,-12.12,0.16,38.56
107,USER_0107,2016-01-05,2019-02-08,2019-02-09,14,795,5397.139999999999,4654.26,125.8,4780.0599999999995,341.43,-53.06,0.16,5.85
108,USER_0108,2017-11-28,2019-06-27,2019-11-17,16,42,2120.86,1830.3400000000001,105.69,1936.03,121.0,-18.16,0.15,43.58
109,USER_0109,2019-05-21,2019-10-11,2019-10-11,8,15,989.2,937.77,49.989999999999995,987.76,123.47,-6.43,0.05,62.52
110,USER_0110,2019-07-02,2019-08-19,2019-08-19,7,87,610.4,546.34,55.980000000000004,602.3199999999999,86.05,-9.15,0.11,6.28
111,USER_0111,2017-08-08,2019-04-24,2019-11-27,38,1121,13350.74,12568.34,499.63,13067.97,343.89,-20.59,0.06,11.21
112,USER_0112,2017-09-12,2019-07-13,2019-07-13,2,5,94.19,91.61,12.0,103.61,51.8,-1.29,0.02,18.32
113,USER_0113,2019-07-02,2019-07-29,2019-11-20,18,65,3217.51,2981.53,128.96,3110.4900000000002,172.8,-13.11,0.08,45.87
114,USER_0114,2019-09-10,2019-08-16,2019-08-16,1,25,167.38,147.68,6.0,153.68,153.68,-19.7,0.13,5.91
115,USER_0115,2016-05-24,2019-01-30,2019-01-30,8,17,1959.73,1848.53,52.0,1900.53,237.57,-13.9,0.06,108.74
116,USER_0116,2018-08-07,2019-10-23,2019-10-24,34,366,10325.37,10027.74,510.64,10538.38,309.95,-8.75,0.03,27.4
117,USER_0117,2019-01-29,2019-03-01,2019-09-28,10,211,1935.1399999999999,1791.46,60.5,1851.96,185.2,-14.37,0.08,8.49
118,USER_0118,2017-08-08,2019-01-08,2019-09-15,328,4869,83645.59,78690.26,3715.32,82405.58,251.24,-15.11,0.06,16.16
119,USER_0119,2018-11-27,2019-05-05,2019-08-01,20,136,2245.9500000000003,2063.57,146.05,2209.62,110.48,-9.12,0.08,15.17
120,USER_0120,2018-11-20,2019-12-21,2019-12-21,17,66,4073.95,3694.68,168.43,3863.1099999999997,227.24,-22.31,0.1,55.98
121,USER_0121,2016-11-29,2019-04-12,2019-04-12,1,2,58.98,53.08,6.5,59.58,59.58,-5.9,0.1,26.54
122,USER_0122,2016-01-05,2019-03-01,2019-03-02,8,39,1194.53,987.48,52.0,1039.48,129.94,-25.88,0.2,25.32
123,USER_0123,2017-11-28,2019-11-06,2019-11-06,28,217,5955.21,5457.01,202.16,5659.17,202.11,-17.79,0.09,25.15
124,USER_0124,2017-12-26,2019-04-05,2019-08-11,28,158,4645.07,4476.26,196.99,4673.25,166.9,-6.03,0.04,28.33
125,USER_0125,2018-01-30,2019-12-08,2019-12-18,7,29,1509.42,1340.1,45.0,1385.1,197.87,-24.19,0.12,46.21
126,USER_0126,2016-05-24,2019-12-01,2019-12-01,3,10,586.9000000000001,573.0699999999999,24.98,598.05,199.35,-4.61,0.02,57.31
127,USER_0127,2017-08-08,2019-02-04,2019-12-24,15,98,2628.44,2293.06,101.96000000000001,2395.02,159.67,-22.36,0.14,23.4
128,USER_0128,2018-04-17,2019-06-26,2019-10-28,32,172,4444.9,4250.24,248.46,4498.7,140.58,-6.08,0.04,24.71
129,USER_0129,2017-01-03,2019-04-30,2019-04-30,8,17,787.9,758.16,72.0,830.16,103.77,-3.72,0.04,44.6
130,USER_0130,2017-10-24,2019-01-03,2019-01-03,2,2,155.74,142.24,13.0,155.24,77.62,-6.75,0.09,71.12
131,USER_0131,2016-09-13,2019-02-08,2019-08-09,11,61,2590.01,2306.59,95.97,2402.56,218.41,-25.77,0.12,37.81
132,USER_0132,2016-12-27,2019-04-12,2019-06-02,7,18,406.29,372.44,43.5,415.94,59.42,-4.84,0.08,20.69
133,USER_0133,2017-03-14,2019-03-04,2019-03-04,5,105,626.49,547.85,32.5,580.35,116.07,-15.73,0.14,5.22
134,USER_0134,2018-01-02,2019-09-11,2019-09-11,5,107,702.64,604.8199999999999,51.48,656.3,131.26,-19.56,0.15,5.65
135,USER_0135,2017-01-31,2019-04-19,2019-11-08,31,313,8274.17,7872.87,224.58,8097.45,261.21,-12.95,0.05,25.15
136,USER_0136,2018-09-11,2019-06-01,2019-10-03,6,18,1132.9399999999998,1077.16,36.0,1113.16,185.53,-9.3,0.05,59.84
137,USER_0137,2019-05-21,2019-12-05,2019-12-06,19,227,3161.79,2849.77,217.67000000000002,3067.44,161.44,-16.42,0.1,12.55
138,USER_0138,2017-04-18,2019-01-05,2019-01-05,28,483,4768.61,4639.610000000001,556.36,5195.97,185.57,-4.61,0.02,9.61
139,USER_0139,2016-02-02,2019-03-25,2019-06-29,23,107,4004.92,3721.7000000000003,242.31,3964.01,172.35,-12.31,0.07,34.78
140,USER_0140,2018-04-17,2019-02-01,2019-11-27,49,376,12938.64,11995.88,724.88,12720.76,259.61,-19.24,0.07,31.9
141,USER_0141,2017-09-12,2019-12-23,2019-12-23,9,18,3018.67,2425.4,78.47,2503.87,278.21,-65.92,0.24,134.74
142,USER_0142,2018-11-20,2019-11-17,2019-12-03,12,43,2181.0299999999997,1943.51,94.48,2037.99,169.83,-19.79,0.12,45.2
143,USER_0143,2016-05-24,2019-10-21,2019-10-24,23,46,4957.52,4840.46,138.0,4978.46,216.45,-5.09,0.02,105.23
144,USER_0144,2017-01-31,2019-01-17,2019-01-17,3,7,979.36,935.44,19.5,954.94,318.31,-14.64,0.05,133.63
145,USER_0145,2016-12-27,2019-06-05,2019-06-05,1,2,261.8,261.8,6.0,267.8,267.8,0.0,0.0,130.9
146,USER_0146,2017-03-14,2019-06-01,2019-06-02,24,307,3865.7200000000003,3504.91,193.79,3698.7,154.11,-15.03,0.1,11.42
147,USER_0147,2019-03-12,2019-01-09,2019-11-12,19,101,5919.42,5621.420000000001,217.0,5838.420000000001,307.29,-15.68,0.05,55.66
148,USER_0148,2017-08-08,2019-04-06,2019-04-06,1,2,40.3,37.39,14.41,51.8,51.8,-2.91,0.06,18.7
149,USER_0149,2018-03-13,2019-04-18,2019-09-07,31,290,4215.83,3884.07,417.78000000000003,4301.85,138.77,-10.7,0.08,13.39
150,USER_0150,2018-01-02,2019-05-06,2019-05-06,1,1,1.32,1.32,6.0,7.32,7.32,0.0,0.0,1.32
151,USER_0151,2017-11-21,2019-06-15,2019-08-31,11,19,1514.08,1266.32,86.97999999999999,1353.3,123.03,-22.52,0.18,66.65
152,USER_0152,2017-03-14,2019-11-29,2019-11-29,1,2,250.8,250.8,6.5,257.3,257.3,0.0,0.0,125.4
153,USER_0153,2018-01-30,2019-03-18,2019-03-18,2,4,80.82000000000001,73.74000000000001,13.0,86.74000000000001,43.37,-3.54,0.08,18.44
154,USER_0154,2019-09-10,2019-01-22,2019-01-22,7,37,1249.3700000000001,1212.39,45.5,1257.89,179.7,-5.28,0.03,32.77
155,USER_0155,2019-10-22,2019-10-05,2019-10-06,19,178,4313.43,4142.46,148.47,4290.93,225.84,-9.0,0.04,23.27
156,USER_0156,2015-12-01,2019-01-12,2019-07-20,30,394,6625.530000000001,6280.72,215.56,6496.28,216.54,-11.49,0.05,15.94
157,USER_0157,2016-02-02,2019-09-05,2019-09-05,1,3,16.55,16.55,6.5,23.05,23.05,0.0,0.0,5.52
158,USER_0158,2018-01-30,2019-06-11,2019-06-11,8,21,344.65999999999997,296.69,48.0,344.69,43.09,-6.0,0.14,14.13
159,USER_0159,2017-10-24,2019-12-06,2019-12-06,5,13,969.31,934.9499999999999,38.49,973.4399999999999,194.69,-6.87,0.04,71.92
160,USER_0160,2016-03-15,2019-06-25,2019-06-29,2,2,22.68,21.89,12.0,33.89,16.94,-0.39,0.02,10.94
161,USER_0161,2017-11-21,2019-10-16,2019-10-16,2,49,984.92,956.05,336.99,1293.04,646.52,-14.44,0.02,19.51
162,USER_0162,2018-04-17,2019-08-08,2019-08-08,2,18,219.06,197.79,20.85,218.64,109.32,-10.64,0.1,10.99
163,USER_0163,2019-08-06,2019-04-11,2019-04-11,7,36,793.77,765.36,61.71,827.07,118.15,-4.06,0.03,21.26
164,USER_0164,2016-04-19,2019-07-05,2019-07-06,7,42,1131.94,1125.17,62.98,1188.15,169.74,-0.97,0.01,26.79
165,USER_0165,2016-01-05,2019-01-14,2019-10-27,25,54,5413.07,5231.2300000000005,163.49,5394.72,215.79,-7.27,0.03,96.87
166,USER_0166,2018-05-22,2019-08-26,2019-10-12,6,28,968.42,922.59,36.0,958.59,159.77,-7.64,0.05,32.95
167,USER_0167,2016-01-05,2019-12-31,2019-12-31,14,35,3272.3900000000003,3150.2,103.99,3254.19,232.44,-8.73,0.04,90.01
168,USER_0168,2016-03-15,2019-07-17,2019-08-01,13,70,1006.27,977.64,132.46,1110.1,85.39,-2.2,0.03,13.97
169,USER_0169,2019-01-29,2019-04-10,2019-04-11,6,49,676.63,673.51,140.49,814.0000000000001,135.67,-0.52,0.0,13.75
170,USER_0170,2016-12-27,2019-01-31,2019-06-23,10,23,1617.1100000000001,1601.73,88.96,1690.69,169.07,-1.54,0.01,69.64
171,USER_0171,2019-10-22,2019-10-04,2019-10-04,2,52,577.48,547.28,12.0,559.28,279.64,-15.1,0.05,10.52
172,USER_0172,2016-04-19,2019-01-29,2019-12-19,31,150,4380.43,4172.02,284.21999999999997,4456.24,143.75,-6.72,0.05,27.81
173,USER_0173,2017-11-21,2019-06-14,2019-08-23,4,144,1261.98,1222.23,102.88999999999999,1325.12,331.28,-9.94,0.03,8.49
174,USER_0174,2019-07-02,2019-04-29,2019-09-05,2,2,172.87,172.87,18.990000000000002,191.86,95.93,0.0,0.0,86.44
175,USER_0175,2015-11-24,2019-12-14,2019-12-14,2,4,584.39,472.33,13.0,485.33,242.66,-56.03,0.23,118.08
176,USER_0176,2016-02-02,2019-11-03,2019-11-21,7,89,892.31,819.29,56.39,875.6800000000001,125.1,-10.43,0.08,9.21
177,USER_0177,2017-03-14,2019-04-24,2019-04-24,8,12,941.72,915.0699999999999,68.98,984.05,123.01,-3.33,0.03,76.26
178,USER_0178,2016-02-02,2019-09-11,2019-10-27,23,137,2862.59,2473.9700000000003,165.89,2639.86,114.78,-16.9,0.15,18.06
179,USER_0179,2016-03-15,2019-10-27,2019-10-27,5,9,927.45,927.05,36.99,964.04,192.81,-0.08,0.0,103.01
180,USER_0180,2016-11-29,2019-06-24,2019-11-10,37,234,6147.820000000001,5666.79,301.18,5967.97,161.3,-13.0,0.08,24.22
181,USER_0181,2016-01-05,2019-05-22,2019-09-28,8,42,2316.5699999999997,2270.52,48.0,2318.52,289.82,-5.76,0.02,54.06
182,USER_0182,2018-05-22,2019-01-30,2019-01-30,3,17,251.6,226.66,19.5,246.16,82.05,-8.31,0.1,13.33
183,USER_0183,2018-11-27,2019-02-03,2019-02-03,28,158,5126.400000000001,4787.36,344.99,5132.35,183.3,-12.11,0.07,30.3
184,USER_0184,2017-07-04,2019-04-18,2019-06-13,6,82,2062.93,1852.64,52.68,1905.3200000000002,317.55,-35.05,0.11,22.59
185,USER_0185,2018-09-11,2019-07-07,2019-07-07,4,16,191.62,188.6,92.21,280.81,70.2,-0.76,0.01,11.79
186,USER_0186,2016-11-22,2019-07-12,2019-07-12,1,1,10.49,10.49,6.0,16.490000000000002,16.49,0.0,0.0,10.49
187,USER_0187,2016-09-13,2019-03-15,2019-03-15,16,226,2314.31,2032.3500000000001,142.77,2175.12,135.94,-17.62,0.13,8.99
188,USER_0188,2015-10-27,2019-06-27,2019-06-27,5,12,675.7900000000001,543.49,30.0,573.49,114.7,-26.46,0.23,45.29
189,USER_0189,2016-08-09,2019-02-28,2019-02-28,4,39,196.82000000000002,176.07,26.0,202.07,50.52,-5.19,0.1,4.51
190,USER_0190,2016-04-19,2019-01-01,2019-12-18,26,175,3360.52,3032.86,200.46,3233.32,124.36,-12.6,0.1,17.33
191,USER_0191,2016-02-02,2019-09-06,2019-09-06,17,556,3402.71,2852.11,175.4,3027.5099999999998,178.09,-32.39,0.18,5.13
192,USER_0192,2019-09-10,2019-10-27,2019-10-27,3,15,249.07,240.84,18.0,258.84000000000003,86.28,-2.74,0.03,16.06
193,USER_0193,2018-12-25,2019-03-27,2019-12-27,60,298,11482.03,10546.56,467.04,11013.6,183.56,-15.59,0.08,35.39
194,USER_0194,2018-09-11,2019-09-06,2019-09-06,1,11,210.62,183.37,6.0,189.37,189.37,-27.25,0.14,16.67
195,USER_0195,2017-03-14,2019-01-15,2019-01-16,7,27,1613.6,1564.69,45.5,1610.19,230.03,-6.99,0.03,57.95
