,고객ID,가입날짜,최초거래날짜,최근거래날짜,구매횟수,구매제품수,구매원가,할인가,배송료,총결제금액,평균결제금액,평균할인차액,평균할인비율,구매제품평균금액,Cluster
22,USER_0022,337,173,173,8,17,812.75,742.88,91.73,834.61,104.33,-8.73,0.08,43.7,About to Sleep
23,USER_0023,1128,334,171,3,170,1494.49,1420.55,42.07,1462.62,487.54,-24.65,0.05,8.36,About to Sleep
24,USER_0024,1352,263,263,10,133,2488.43,2421.19,156.98,2578.17,257.82,-6.72,0.03,18.2,Need Attention
25,USER_0025,435,364,41,32,57,6169.56,5862.4800000000005,228.73,6091.21,190.35,-9.6,0.05,102.85,Newcomer
26,USER_0026,1023,357,266,55,1494,15444.7,15042.48,1290.23,16332.71,296.96,-7.31,0.02,10.07,VVIP
27,USER_0027,1023,223,223,1,15,36.01,32.77,6.0,38.77,38.77,-3.24,0.08,2.18,Sleep
28,USER_0028,1527,130,18,14,26,2667.06,2628.81,101.88,2730.69,195.05,-2.73,0.01,101.11,Need Attention
29,USER_0029,1205,279,278,11,16,1911.91,1570.65,83.12,1653.77,150.34,-31.02,0.21,98.17,Need Attention
30,USER_0030,1492,104,104,57,799,10854.35,9775.49,526.07,10301.56,180.73,-18.93,0.1,12.23,VVIP
31,USER_0031,799,14,14,6,10,1356.02,1043.81,52.49,1096.3,182.72,-52.04,0.28,104.38,About to Sleep
32,USER_0032,337,52,52,7,26,1504.63,1465.56,51.61,1517.1699999999998,216.74,-5.58,0.03,56.37,About to Sleep
33,USER_0033,407,348,16,70,279,15345.18,14486.54,567.16,15053.7,215.05,-12.27,0.06,51.92,VVIP
34,USER_0034,71,355,63,67,508,12662.76,11724.43,623.15,12347.58,184.29,-14.0,0.08,23.08,VVIP
35,USER_0035,547,301,61,27,225,7434.78,6944.5,316.14,7260.64,268.91,-18.16,0.07,30.86,VIP
36,USER_0036,435,228,34,13,302,3484.19,3157.05,100.99,3258.04,250.62,-25.16,0.1,10.45,Need Attention
37,USER_0037,372,27,27,2,2,273.03,241.24,13.0,254.24,127.12,-15.89,0.12,120.62,Sleep
38,USER_0038,736,148,148,14,51,1448.8,1418.31,84.0,1502.31,107.31,-2.18,0.02,27.81,About to Sleep
39,USER_0039,1492,265,152,13,757,10875.75,9363.59,187.87,9551.46,734.73,-116.32,0.16,12.37,VIP
40,USER_0040,1205,167,167,6,27,1098.7,1083.61,30.0,1113.61,185.6,-2.52,0.01,40.13,About to Sleep
41,USER_0041,1387,150,150,35,434,5968.52,5524.83,321.47,5846.3,167.04,-12.68,0.08,12.73,Newcomer
42,USER_0042,71,151,151,6,48,885.12,878.87,36.0,914.87,152.48,-1.04,0.01,18.31,About to Sleep
43,USER_0043,799,124,124,22,61,3007.28,2791.58,174.47,2966.05,134.82,-9.8,0.07,45.76,Need Attention
44,USER_0044,876,264,165,5,9,459.3200000000001,444.78,30.0,474.78,94.96,-2.91,0.03,49.42,Sleep
45,USER_0045,1464,141,141,3,5,77.6,72.49000000000001,18.0,90.49,30.16,-1.7,0.06,14.5,Sleep
46,USER_0046,295,152,42,71,606,11218.99,10477.04,510.71,10987.75,154.76,-10.45,0.07,17.29,VVIP
47,USER_0047,771,16,16,21,117,5561.78,4872.67,176.64,5049.31,240.44,-32.81,0.14,41.65,Newcomer
48,USER_0048,1093,158,158,1,1,11.16,11.16,6.0,17.16,17.16,0.0,0.0,11.16,Sleep
49,USER_0049,764,105,105,12,216,1541.28,1297.22,94.48,1391.7,115.98,-20.34,0.18,6.01,About to Sleep
50,USER_0050,876,172,172,4,95,1486.82,1475.36,24.0,1499.36,374.84,-2.86,0.01,15.53,About to Sleep
51,USER_0051,1135,132,132,3,28,535.98,431.09,56.22,487.31,162.44,-34.96,0.22,15.4,Sleep
52,USER_0052,659,141,140,5,23,615.54,535.97,30.0,565.97,113.19,-15.91,0.14,23.3,Sleep
53,USER_0053,764,108,108,6,424,1927.15,1803.25,36.5,1839.75,306.62,-20.65,0.07,4.25,Need Attention
54,USER_0054,1352,35,35,22,96,4921.6900000000005,4440.29,154.97,4595.26,208.88,-21.88,0.1,46.25,Newcomer
55,USER_0055,911,152,152,8,86,1382.32,1373.25,86.4,1459.65,182.46,-1.13,0.01,15.97,About to Sleep
56,USER_0056,400,142,54,100,486,20744.26,19437.45,756.35,20193.8,201.94,-13.07,0.06,39.99,VVIP
57,USER_0057,764,234,22,32,310,4598.42,4338.08,237.94,4576.02,143.0,-8.14,0.06,13.99,Newcomer
58,USER_0058,1275,189,189,9,17,1857.27,1601.85,85.17999999999999,1687.03,187.45,-28.38,0.15,94.23,Need Attention
59,USER_0059,295,124,70,14,91,1615.59,1572.33,162.67000000000002,1735.0,123.93,-3.09,0.02,17.28,Need Attention
60,USER_0060,1527,333,137,4,10,327.61,286.27,25.0,311.27,77.82,-10.33,0.13,28.63,Sleep
61,USER_0061,764,81,21,11,136,3060.74,2927.04,73.98,3001.02,272.82,-12.15,0.04,21.52,Need Attention
62,USER_0062,771,321,11,71,519,13510.15,12524.04,625.38,13149.42,185.2,-13.89,0.08,24.13,VVIP
63,USER_0063,1457,46,46,5,190,1779.63,1502.9,57.72,1560.62,312.12,-55.35,0.18,7.91,Need Attention
64,USER_0064,372,203,203,33,976,6662.94,6203.02,289.34000000000003,6492.360000000001,196.74,-13.94,0.07,6.36,VIP
65,USER_0065,295,165,57,40,116,6243.13,5644.0,261.48,5905.48,147.64,-14.98,0.1,48.66,Newcomer
66,USER_0066,1065,365,152,15,155,2671.9,2563.56,195.7,2759.26,183.95,-7.22,0.04,16.54,Need Attention
67,USER_0067,148,171,161,26,212,4255.860000000001,4125.34,196.56,4321.9,166.23,-5.02,0.03,19.46,Newcomer
68,USER_0068,113,303,303,1,1,22.41,22.41,6.5,28.91,28.91,0.0,0.0,22.41,Sleep
69,USER_0069,764,60,60,21,158,4802.63,4639.43,198.87,4838.3,230.4,-7.77,0.03,29.36,Newcomer
70,USER_0070,400,93,93,5,131,928.22,732.35,30.0,762.35,152.47,-39.17,0.26,5.59,About to Sleep
71,USER_0071,1205,331,16,8,16,869.51,780.86,56.99,837.85,104.73,-11.08,0.11,48.8,About to Sleep
72,USER_0072,372,137,137,4,9,624.04,550.74,26.7,577.44,144.36,-18.32,0.13,61.19,Sleep
73,USER_0073,1128,257,257,2,3,312.72,312.72,12.0,324.72,162.36,0.0,0.0,104.24,Sleep
74,USER_0074,113,66,66,4,19,374.17,351.46,24.0,375.46,93.86,-5.68,0.06,18.5,Sleep
75,USER_0075,1387,264,188,20,117,2764.29,2549.71,179.9,2729.61,136.48,-10.73,0.08,21.79,Need Attention
76,USER_0076,799,79,16,24,186,6448.38,6208.57,173.23,6381.8,265.91,-9.99,0.04,33.38,VIP
77,USER_0077,953,116,28,34,582,5694.06,5221.74,274.35,5496.09,161.65,-13.89,0.09,8.97,Newcomer
78,USER_0078,400,97,57,26,125,4791.45,4453.53,190.97,4644.5,178.63,-13.0,0.07,35.63,Newcomer
79,USER_0079,1457,136,136,1,2,71.73,61.35,6.0,67.35,67.35,-10.38,0.15,30.67,Sleep
80,USER_0080,1527,52,52,8,77,2664.36,2479.38,54.48,2533.86,316.73,-23.12,0.07,32.2,Need Attention
81,USER_0081,876,310,189,28,216,4301.0,4081.23,195.17,4276.400000000001,152.73,-7.85,0.05,18.89,Newcomer
82,USER_0082,1065,258,258,1,2,16.84,15.33,6.5,21.83,21.83,-1.51,0.07,7.66,Sleep
83,USER_0083,1387,145,145,7,255,2721.2,2468.33,42.0,2510.33,358.62,-36.12,0.1,9.68,Need Attention
84,USER_0084,701,130,88,26,169,3045.24,2811.55,208.38,3019.93,116.15,-8.99,0.08,16.64,Need Attention
85,USER_0085,701,357,13,16,148,3291.56,3098.49,173.0,3271.49,204.47,-12.07,0.06,20.94,Need Attention
86,USER_0086,435,91,91,5,5,820.84,767.81,30.0,797.81,159.56,-10.61,0.07,153.56,About to Sleep
87,USER_0087,372,132,104,2,17,96.92,86.72999999999999,18.91,105.64,52.82,-5.09,0.1,5.1,Sleep
88,USER_0088,400,206,206,2,2,44.82,38.1,12.0,50.1,25.05,-3.36,0.13,19.05,Sleep
89,USER_0089,1023,185,32,38,214,7335.56,6963.06,307.33,7270.39,191.33,-9.8,0.05,32.54,VIP
90,USER_0090,1352,124,124,3,10,289.17,274.61,18.0,292.61,97.54,-4.85,0.05,27.46,Sleep
91,USER_0091,148,114,114,11,35,1928.06,1682.27,66.0,1748.27,158.93,-22.34,0.14,48.06,Need Attention
92,USER_0092,1163,22,22,10,13,1483.21,1366.94,64.0,1430.94,143.09,-11.63,0.08,105.15,About to Sleep
93,USER_0093,841,173,173,3,6,223.23,223.23,18.0,241.23,80.41,0.0,0.0,37.21,Sleep
94,USER_0094,841,287,29,88,504,17344.32,16307.97,709.64,17017.61,193.38,-11.78,0.06,32.36,VVIP
95,USER_0095,1065,330,21,68,230,13428.13,12423.19,567.0600000000001,12990.25,191.03,-14.78,0.08,54.01,VVIP
96,USER_0096,477,264,93,38,744,11308.12,10719.76,448.28,11168.04,293.9,-15.48,0.05,14.41,VVIP
97,USER_0097,953,335,335,6,9,1067.23,1040.22,50.97,1091.19,181.86,-4.5,0.02,115.58,About to Sleep
98,USER_0098,260,187,66,8,19,1461.3,1432.74,54.91,1487.65,185.96,-3.57,0.02,75.41,About to Sleep
99,USER_0099,148,79,79,4,17,1836.16,1756.07,24.0,1780.07,445.02,-20.02,0.04,103.3,Need Attention
100,USER_0100,1429,187,187,13,36,1832.69,1721.29,78.5,1799.79,138.45,-8.57,0.06,47.81,Need Attention
101,USER_0101,764,303,124,21,170,3101.21,2973.89,161.19,3135.08,149.29,-6.06,0.04,17.49,Need Attention
102,USER_0102,1093,280,54,16,200,3346.67,3039.18,125.72,3164.9,197.81,-19.22,0.1,15.2,Need Attention
103,USER_0103,1128,329,11,27,65,4118.68,3910.02,252.84,4162.86,154.18,-7.73,0.05,60.15,Newcomer
104,USER_0104,659,306,35,26,225,7439.01,6744.79,220.61,6965.4,267.9,-26.7,0.1,29.98,VIP
105,USER_0105,183,264,179,10,144,2176.79,2063.18,86.33,2149.51,214.95,-11.36,0.05,14.33,Need Attention
106,USER_0106,624,133,133,7,13,586.0300000000001,501.22,42.0,543.22,77.6,-12.12,0.16,38.56,Sleep
107,USER_0107,1457,327,326,14,795,5397.139999999999,4654.26,125.8,4780.06,341.43,-53.06,0.16,5.85,Newcomer
108,USER_0108,764,188,45,16,42,2120.86,1830.34,105.69,1936.03,121.0,-18.16,0.15,43.58,Need Attention
109,USER_0109,225,82,82,8,15,989.2,937.77,49.99,987.76,123.47,-6.43,0.05,62.52,About to Sleep
110,USER_0110,183,135,135,7,87,610.4,546.34,55.98,602.3199999999999,86.05,-9.15,0.11,6.28,Sleep
111,USER_0111,876,252,35,38,1121,13350.74,12568.34,499.63,13067.97,343.89,-20.59,0.06,11.21,VVIP
112,USER_0112,841,172,172,2,5,94.19,91.61,12.0,103.61,51.8,-1.29,0.02,18.32,Sleep
113,USER_0113,183,156,42,18,65,3217.51,2981.53,128.96,3110.49,172.8,-13.11,0.08,45.87,Need Attention
114,USER_0114,113,138,138,1,25,167.38,147.68,6.0,153.68,153.68,-19.7,0.13,5.91,Sleep
115,USER_0115,1317,336,336,8,17,1959.73,1848.53,52.0,1900.53,237.57,-13.9,0.06,108.74,Need Attention
116,USER_0116,512,70,69,34,366,10325.37,10027.74,510.64,10538.38,309.95,-8.75,0.03,27.4,VVIP
117,USER_0117,337,306,95,10,211,1935.14,1791.46,60.5,1851.96,185.2,-14.37,0.08,8.49,Need Attention
118,USER_0118,876,358,108,328,4869,83645.59,78690.26,3715.32,82405.58,251.24,-15.11,0.06,16.16,VVIP
119,USER_0119,400,241,153,20,136,2245.9500000000003,2063.57,146.05,2209.62,110.48,-9.12,0.08,15.17,Need Attention
120,USER_0120,407,11,11,17,66,4073.95,3694.68,168.43,3863.11,227.24,-22.31,0.1,55.98,Newcomer
121,USER_0121,1128,264,264,1,2,58.98,53.08,6.5,59.58,59.58,-5.9,0.1,26.54,Sleep
122,USER_0122,1457,306,305,8,39,1194.53,987.48,52.0,1039.48,129.94,-25.88,0.2,25.32,About to Sleep
123,USER_0123,764,56,56,28,217,5955.21,5457.01,202.16,5659.17,202.11,-17.79,0.09,25.15,Newcomer
124,USER_0124,736,271,143,28,158,4645.07,4476.26,196.99,4673.25,166.9,-6.03,0.04,28.33,Newcomer
125,USER_0125,701,24,14,7,29,1509.42,1340.1,45.0,1385.1,197.87,-24.19,0.12,46.21,About to Sleep
126,USER_0126,1317,31,31,3,10,586.9000000000001,573.0699999999999,24.98,598.05,199.35,-4.61,0.02,57.31,Sleep
127,USER_0127,876,331,8,15,98,2628.44,2293.06,101.96,2395.02,159.67,-22.36,0.14,23.4,Need Attention
128,USER_0128,624,189,65,32,172,4444.9,4250.24,248.46,4498.7,140.58,-6.08,0.04,24.71,Newcomer
129,USER_0129,1093,246,246,8,17,787.9,758.16,72.0,830.16,103.77,-3.72,0.04,44.6,About to Sleep
130,USER_0130,799,363,363,2,2,155.74,142.24,13.0,155.24,77.62,-6.75,0.09,71.12,Sleep
131,USER_0131,1205,327,145,11,61,2590.01,2306.59,95.97,2402.56,218.41,-25.77,0.12,37.81,Need Attention
132,USER_0132,1100,264,213,7,18,406.29,372.44,43.5,415.94,59.42,-4.84,0.08,20.69,Sleep
133,USER_0133,1023,303,303,5,105,626.49,547.85,32.5,580.35,116.07,-15.73,0.14,5.22,Sleep
134,USER_0134,729,112,112,5,107,702.64,604.8199999999999,51.48,656.3,131.26,-19.56,0.15,5.65,Sleep
135,USER_0135,1065,257,54,31,313,8274.17,7872.87,224.58,8097.45,261.21,-12.95,0.05,25.15,VIP
136,USER_0136,477,214,90,6,18,1132.9399999999998,1077.16,36.0,1113.16,185.53,-9.3,0.05,59.84,About to Sleep
137,USER_0137,225,27,26,19,227,3161.79,2849.77,217.67,3067.44,161.44,-16.42,0.1,12.55,Need Attention
138,USER_0138,988,361,361,28,483,4768.61,4639.610000000001,556.36,5195.97,185.57,-4.61,0.02,9.61,Newcomer
139,USER_0139,1429,282,186,23,107,4004.92,3721.7,242.31,3964.01,172.35,-12.31,0.07,34.78,Newcomer
140,USER_0140,624,334,35,49,376,12938.64,11995.88,724.88,12720.76,259.61,-19.24,0.07,31.9,VVIP
141,USER_0141,841,9,9,9,18,3018.67,2425.4,78.47,2503.87,278.21,-65.92,0.24,134.74,Need Attention
142,USER_0142,407,45,29,12,43,2181.03,1943.51,94.48,2037.99,169.83,-19.79,0.12,45.2,Need Attention
143,USER_0143,1317,72,69,23,46,4957.52,4840.46,138.0,4978.46,216.45,-5.09,0.02,105.23,Newcomer
144,USER_0144,1065,349,349,3,7,979.36,935.44,19.5,954.94,318.31,-14.64,0.05,133.63,About to Sleep
145,USER_0145,1100,210,210,1,2,261.8,261.8,6.0,267.8,267.8,0.0,0.0,130.9,Sleep
146,USER_0146,1023,214,213,24,307,3865.72,3504.91,193.79,3698.7,154.11,-15.03,0.1,11.42,Newcomer
147,USER_0147,295,357,50,19,101,5919.42,5621.420000000001,217.0,5838.420000000001,307.29,-15.68,0.05,55.66,Newcomer
148,USER_0148,876,270,270,1,2,40.3,37.39,14.41,51.8,51.8,-2.91,0.06,18.7,Sleep
149,USER_0149,659,258,116,31,290,4215.83,3884.07,417.78,4301.85,138.77,-10.7,0.08,13.39,Newcomer
150,USER_0150,729,240,240,1,1,1.32,1.32,6.0,7.32,7.32,0.0,0.0,1.32,Sleep
151,USER_0151,771,200,123,11,19,1514.08,1266.32,86.97999999999999,1353.3,123.03,-22.52,0.18,66.65,About to Sleep
152,USER_0152,1023,33,33,1,2,250.8,250.8,6.5,257.3,257.3,0.0,0.0,125.4,Sleep
153,USER_0153,701,289,289,2,4,80.82000000000001,73.74000000000001,13.0,86.74000000000001,43.37,-3.54,0.08,18.44,Sleep
154,USER_0154,113,344,344,7,37,1249.37,1212.39,45.5,1257.89,179.7,-5.28,0.03,32.77,About to Sleep
155,USER_0155,71,88,87,19,178,4313.43,4142.46,148.47,4290.93,225.84,-9.0,0.04,23.27,Newcomer
156,USER_0156,1492,354,165,30,394,6625.530000000001,6280.72,215.56,6496.28,216.54,-11.49,0.05,15.94,VIP
157,USER_0157,1429,118,118,1,3,16.55,16.55,6.5,23.05,23.05,0.0,0.0,5.52,Sleep
158,USER_0158,701,204,204,8,21,344.66,296.69,48.0,344.69,43.09,-6.0,0.14,14.13,Sleep
159,USER_0159,799,26,26,5,13,969.31,934.95,38.49,973.44,194.69,-6.87,0.04,71.92,About to Sleep
160,USER_0160,1387,190,186,2,2,22.68,21.89,12.0,33.89,16.94,-0.39,0.02,10.94,Sleep
161,USER_0161,771,77,77,2,49,984.92,956.05,336.99,1293.04,646.52,-14.44,0.02,19.51,About to Sleep
162,USER_0162,624,146,146,2,18,219.06,197.79,20.85,218.64,109.32,-10.64,0.1,10.99,Sleep
163,USER_0163,148,265,265,7,36,793.77,765.36,61.71,827.07,118.15,-4.06,0.03,21.26,About to Sleep
164,USER_0164,1352,180,179,7,42,1131.94,1125.17,62.98,1188.15,169.74,-0.97,0.01,26.79,About to Sleep
165,USER_0165,1457,352,66,25,54,5413.07,5231.2300000000005,163.49,5394.72,215.79,-7.27,0.03,96.87,Newcomer
166,USER_0166,589,128,81,6,28,968.42,922.59,36.0,958.59,159.77,-7.64,0.05,32.95,About to Sleep
167,USER_0167,1457,1,1,14,35,3272.3900000000003,3150.2,103.99,3254.19,232.44,-8.73,0.04,90.01,Need Attention
168,USER_0168,1387,168,153,13,70,1006.27,977.64,132.46,1110.1,85.39,-2.2,0.03,13.97,About to Sleep
169,USER_0169,337,266,265,6,49,676.63,673.51,140.49,814.0000000000001,135.67,-0.52,0.0,13.75,About to Sleep
170,USER_0170,1100,335,192,10,23,1617.11,1601.73,88.96,1690.69,169.07,-1.54,0.01,69.64,Need Attention
171,USER_0171,71,89,89,2,52,577.48,547.28,12.0,559.28,279.64,-15.1,0.05,10.52,Sleep
172,USER_0172,1352,337,13,31,150,4380.43,4172.02,284.22,4456.24,143.75,-6.72,0.05,27.81,Newcomer
173,USER_0173,771,201,131,4,144,1261.98,1222.23,102.89,1325.12,331.28,-9.94,0.03,8.49,About to Sleep
174,USER_0174,183,247,118,2,2,172.87,172.87,18.99,191.86,95.93,0.0,0.0,86.44,Sleep
175,USER_0175,1499,18,18,2,4,584.39,472.33,13.0,485.33,242.66,-56.03,0.23,118.08,Sleep
176,USER_0176,1429,59,41,7,89,892.31,819.29,56.39,875.6800000000001,125.1,-10.43,0.08,9.21,About to Sleep
177,USER_0177,1023,252,252,8,12,941.72,915.07,68.98,984.05,123.01,-3.33,0.03,76.26,About to Sleep
178,USER_0178,1429,112,66,23,137,2862.59,2473.9700000000003,165.89,2639.86,114.78,-16.9,0.15,18.06,Need Attention
179,USER_0179,1387,66,66,5,9,927.45,927.05,36.99,964.04,192.81,-0.08,0.0,103.01,About to Sleep
180,USER_0180,1128,191,52,37,234,6147.820000000001,5666.79,301.18,5967.97,161.3,-13.0,0.08,24.22,Newcomer
181,USER_0181,1457,224,95,8,42,2316.57,2270.52,48.0,2318.52,289.82,-5.76,0.02,54.06,Need Attention
182,USER_0182,589,336,336,3,17,251.6,226.66,19.5,246.16,82.05,-8.31,0.1,13.33,Sleep
183,USER_0183,400,332,332,28,158,5126.400000000001,4787.36,344.99,5132.35,183.3,-12.11,0.07,30.3,Newcomer
184,USER_0184,911,258,202,6,82,2062.93,1852.64,52.68,1905.32,317.55,-35.05,0.11,22.59,Need Attention
185,USER_0185,477,178,178,4,16,191.62,188.6,92.21,280.81,70.2,-0.76,0.01,11.79,Sleep
186,USER_0186,1135,173,173,1,1,10.49,10.49,6.0,16.490000000000002,16.49,0.0,0.0,10.49,Sleep
187,USER_0187,1205,292,292,16,226,2314.31,2032.35,142.77,2175.12,135.94,-17.62,0.13,8.99,Need Attention
188,USER_0188,1527,188,188,5,12,675.7900000000001,543.49,30.0,573.49,114.7,-26.46,0.23,45.29,Sleep
189,USER_0189,1240,307,307,4,39,196.82,176.07,26.0,202.07,50.52,-5.19,0.1,4.51,Sleep
190,USER_0190,1352,365,14,26,175,3360.52,3032.86,200.46,3233.32,124.36,-12.6,0.1,17.33,Need Attention
191,USER_0191,1429,117,117,17,556,3402.71,2852.11,175.4,3027.51,178.09,-32.39,0.18,5.13,Need Attention
192,USER_0192,113,66,66,3,15,249.07,240.84,18.0,258.84000000000003,86.28,-2.74,0.03,16.06,Sleep
193,USER_0193,372,280,5,60,298,11482.03,10546.56,467.04,11013.6,183.56,-15.59,0.08,35.39,VVIP
194,USER_0194,477,117,117,1,11,210.62,183.37,6.0,189.37,189.37,-27.25,0.14,16.67,Sleep
195,USER_0195,1023,351,350,7,27,1613.6,1564.69,45.5,1610.19,230.03,-6.99,0.03,57.95,Need Attention
196,USER_0196,1499,82,82,1,1,1.1,0.99,6.0,6.99,6.99,-0.11,0.02,0.99,Sleep
197,USER_0197,1163,323,4,68,266,9471.91,8942.12,455.95,9398.07,138.21,-7.79,0.06,33.62,VIP
198,USER_0198,1429,269,269,4,148,1758.61,1686.2800000000002,26.0,1712.2800000000002,428.07,-18.08,0.04,11.39,Need Attention
199,USER_0199,876,280,52,24,409,4623.88,4062.76,176.85,4239.61,176.65,-23.38,0.13,9.93,Newcomer
200,USER_0200,183,326,123,117,1137,21945.02,21006.42,1008.02,22014.44,188.16,-8.02,0.04,18.48,VVIP
201,USER_0201,1429,161,161,6,9,1132.0700000000002,1076.41,36.0,1112.41,185.4,-9.28,0.05,119.6,About to Sleep
202,USER_0202,764,325,21,176,927,29891.53,27409.46,1413.53,28822.99,163.77,-14.1,0.09,29.57,VVIP
203,USER_0203,148,350,93,9,34,1491.1799999999998,1378.01,75.84,1453.85,161.54,-12.57,0.08,40.53,About to Sleep
204,USER_0204,71,208,208,4,8,313.01,283.55,37.99,321.54,80.39,-7.36,0.09,35.44,Sleep
205,USER_0205,1135,354,20,65,612,13082.17,11938.67,506.63,12445.3,191.47,-17.59,0.09,19.51,VVIP
206,USER_0206,372,303,154,4,26,409.87,382.73,53.8,436.53,109.13,-6.78,0.06,14.72,Sleep
207,USER_0207,1065,214,159,18,280,3273.09,3014.17,139.39,3153.56,175.2,-14.38,0.08,10.76,Need Attention
208,USER_0208,183,61,59,14,25,2556.91,2288.41,93.69,2382.1,170.15,-19.18,0.11,91.54,Need Attention
209,USER_0209,372,259,8,54,169,9356.19,8725.7,366.74,9092.44,168.38,-11.68,0.07,51.63,VIP
210,USER_0210,659,179,179,1,1,130.9,117.81,6.0,123.81,123.81,-13.09,0.11,117.81,Sleep
211,USER_0211,659,140,119,10,149,2872.38,2797.34,121.71,2919.05,291.91,-7.5,0.03,18.77,Need Attention
212,USER_0212,1429,348,348,3,253,522.17,522.17,31.47,553.64,184.55,0.0,0.0,2.06,Sleep
213,USER_0213,1093,22,22,8,52,1062.57,949.6,51.5,1001.1,125.14,-14.12,0.11,18.26,About to Sleep
214,USER_0214,1387,272,8,29,2494,22993.65,22030.74,237.45,22268.19,767.87,-33.2,0.04,8.83,VVIP
215,USER_0215,799,269,153,2,9,276.18,276.18,12.5,288.68,144.34,0.0,0.0,30.69,Sleep
216,USER_0216,953,343,76,12,89,2207.26,2152.03,104.27,2256.3,188.02,-4.6,0.02,24.18,Need Attention
217,USER_0217,148,206,205,30,76,4798.9,4483.87,201.47,4685.34,156.18,-10.5,0.07,59.0,Newcomer
218,USER_0218,1128,278,137,18,73,2475.8,2290.51,159.39,2449.9,136.11,-10.29,0.08,31.38,Need Attention
219,USER_0219,1457,257,257,3,3,248.88,235.79,18.0,253.79,84.6,-4.36,0.05,78.6,Sleep
220,USER_0220,1128,10,10,33,78,8067.27,7226.849999999999,275.13,7501.98,227.33,-25.47,0.11,92.65,VIP
221,USER_0221,701,341,340,7,21,1617.0,1602.3000000000002,45.5,1647.8000000000002,235.4,-2.1,0.01,76.3,Need Attention
222,USER_0222,1100,269,269,4,36,484.14,463.58,117.03,580.6099999999999,145.15,-5.14,0.04,12.88,Sleep
223,USER_0223,764,42,22,16,112,3495.34,3311.61,131.89,3443.5,215.22,-11.48,0.05,29.57,Need Attention
224,USER_0224,1163,137,137,1,3,37.75,36.09,6.0,42.09,42.09,-1.66,0.04,12.03,Sleep
225,USER_0225,148,336,336,1,1,19.47,17.52,6.5,24.02,24.02,-1.95,0.08,17.52,Sleep
226,USER_0226,512,247,37,78,186,19323.83,18006.38,564.12,18570.5,238.08,-16.89,0.07,96.81,VVIP
227,USER_0227,295,298,115,38,164,6254.27,5463.84,430.66,5894.5,155.12,-20.8,0.13,33.32,Newcomer
228,USER_0228,1499,75,75,16,67,3712.88,3508.63,172.63,3681.26,230.08,-12.77,0.06,52.37,Newcomer
229,USER_0229,148,38,38,2,9,503.72,492.68,13.0,505.68,252.84,-5.52,0.02,54.74,Sleep
